FirstFlrSFLog,SecondFlrSF,ThreeSsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivAreaLog,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotAreaLog,LotConfig,LotFrontageLog,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePriceLog,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
6.75343791859778,854,0,None,3,1Fam,TA,No,706,0,GLQ,Unf,1,0,Gd,150,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,548,2,TA,RFn,TA,Attchd,2003,7.444833273892193,1,GasA,Ex,2Story,1,1,Gd,Lvl,Gtl,9.042040056544483,Inside,4.189654742026425,Reg,0,60,RL,196,BrkFace,None,0,2,CollgCr,61,5,7,Y,0,None,CompShg,Gable,Normal,12.24769911637256,WD,0,Pave,8,856,AllPub,0,2003,2003,2008
7.141245122350491,0,0,None,3,1Fam,TA,Gd,978,0,ALQ,Unf,0,1,Gd,284,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,None,TA,1,CBlock,2,Typ,460,2,TA,RFn,TA,Attchd,1976,7.141245122350491,0,GasA,Ex,1Story,2,1,TA,Lvl,Gtl,9.169622538697624,FR2,4.394449154672439,Reg,0,20,RL,0,None,None,0,5,Veenker,0,8,6,Y,0,None,CompShg,Gable,Normal,12.109016442313738,WD,0,Pave,6,1262,AllPub,298,1976,1976,2007
6.825460036255307,866,0,None,3,1Fam,TA,Mn,486,0,GLQ,Unf,1,0,Gd,434,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,608,2,TA,RFn,TA,Attchd,2001,7.488293515159428,1,GasA,Ex,2Story,3,1,Gd,Lvl,Gtl,9.328212292571072,Inside,4.23410650459726,IR1,0,60,RL,162,BrkFace,None,0,9,CollgCr,42,5,7,Y,0,None,CompShg,Gable,Normal,12.317171167298682,WD,0,Pave,6,920,AllPub,0,2001,2002,2008
6.8690144506657065,756,0,None,3,1Fam,Gd,No,216,0,ALQ,Unf,1,0,TA,540,Y,Norm,Norm,SBrkr,272,TA,TA,WdSdng,WdShng,None,Gd,1,BrkTil,1,Typ,642,3,TA,Unf,TA,Detchd,1998,7.4489161025442,0,GasA,Gd,2Story,4,1,Gd,Lvl,Gtl,9.164401140034737,Corner,4.110873864173311,IR1,0,70,RL,0,None,None,0,2,Crawfor,35,5,7,Y,0,None,CompShg,Gable,Abnorml,11.849404844423074,WD,0,Pave,7,756,AllPub,0,1915,1970,2006
7.044032897274685,1053,0,None,4,1Fam,TA,Av,655,0,GLQ,Unf,1,0,Gd,490,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,836,3,TA,RFn,TA,Attchd,2000,7.695757990554761,1,GasA,Ex,2Story,5,1,Gd,Lvl,Gtl,9.565283817736766,FR2,4.442651256490317,IR1,0,60,RL,350,BrkFace,None,0,12,NoRidge,84,5,8,Y,0,None,CompShg,Gable,Normal,12.429220196836383,WD,0,Pave,9,1145,AllPub,192,2000,2000,2008
6.680854678790215,566,320,None,1,1Fam,TA,No,732,0,GLQ,Unf,1,0,Gd,64,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,Wood,1,Typ,480,2,TA,Unf,TA,Attchd,1993,7.217443431696533,1,GasA,Ex,1_5Fin,6,1,TA,Lvl,Gtl,9.55506418479516,Inside,4.454347296253507,IR1,0,50,RL,0,None,Shed,700,10,Mitchel,30,5,5,Y,0,None,CompShg,Gable,Normal,11.870606902224587,WD,0,Pave,5,796,AllPub,40,1993,1995,2009
7.43543801981455,0,0,None,3,1Fam,TA,Av,1369,0,GLQ,Unf,1,0,Ex,317,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,636,2,TA,RFn,TA,Attchd,2004,7.43543801981455,0,GasA,Ex,1Story,7,1,Gd,Lvl,Gtl,9.218804450388312,Inside,4.330733340286331,Reg,0,20,RL,186,Stone,None,0,8,Somerst,57,5,8,Y,0,None,CompShg,Gable,Normal,12.634606283893019,WD,0,Pave,7,1686,AllPub,255,2004,2005,2007
7.010311867307229,983,0,None,3,1Fam,TA,Mn,859,32,ALQ,BLQ,1,0,Gd,216,Y,PosN,Norm,SBrkr,228,TA,TA,HdBoard,HdBoard,None,TA,2,CBlock,2,Typ,484,2,TA,RFn,TA,Attchd,1973,7.645397699428633,1,GasA,Ex,2Story,8,1,TA,Lvl,Gtl,9.247925132303454,Corner,4.532599493153256,IR1,0,60,RL,240,Stone,Shed,350,11,NWAmes,204,6,7,Y,0,None,CompShg,Gable,Normal,12.206077645517674,WD,0,Pave,7,1107,AllPub,235,1973,1973,2009
6.930494765951626,752,0,None,2,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,952,Y,Artery,Norm,FuseF,205,TA,TA,BrkFace,WdShng,None,TA,2,BrkTil,2,Min1,468,2,TA,Unf,Fa,Detchd,1931,7.4815557019095165,0,GasA,Gd,1_5Fin,9,2,TA,Lvl,Gtl,8.71948076085107,Inside,3.9512437185814275,Reg,0,50,RM,0,None,None,0,4,OldTown,0,5,7,Y,0,None,CompShg,Gable,Abnorml,11.774527900858468,WD,0,Pave,8,952,AllPub,90,1931,1950,2008
6.982862751468942,0,0,None,2,2fmCon,TA,No,851,0,GLQ,Unf,1,0,TA,140,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,None,TA,2,BrkTil,1,Typ,205,1,TA,RFn,Gd,Attchd,1939,6.982862751468942,0,GasA,Ex,1_5Unf,10,2,TA,Lvl,Gtl,8.912069097970134,Corner,3.9318256327243257,Reg,0,190,RL,0,None,None,0,1,BrkSide,4,6,5,Y,0,None,CompShg,Gable,Normal,11.678448377988165,WD,0,Pave,5,991,AllPub,0,1939,1950,2008
6.947937068614969,0,0,None,3,1Fam,TA,No,906,0,Rec,Unf,1,0,TA,134,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,None,None,0,CBlock,1,Typ,384,1,TA,Unf,TA,Detchd,1965,6.947937068614969,0,GasA,Ex,1Story,11,1,TA,Lvl,Gtl,9.32375833901174,Inside,4.2626798770413155,Reg,0,20,RL,0,None,None,0,2,Sawyer,0,5,5,Y,0,None,CompShg,Hip,Normal,11.771443882099637,WD,0,Pave,5,1040,AllPub,0,1965,1965,2008
